rodent_uid,trap_uid,clean_names,genus,sub_family,family,sex,age_group,weight,head_body,cut_tail,hind_foot,ear,length_skull,testes,seminal_vesicles,vagina_perforate,teats_visible,pairs_teats,number_embryos,notes,all_samples,source_data,village,visit,trap_night,grid_number,trap_number
5_LAM_005,lambayama_5_1_7_237,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,28,110,no,19,8,29,internal,yes,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,1,7,237
5_LAM_004,lambayama_5_1_7_218,mastomys_natalensis,mastomys,murinae,muridae,male,juvenile,23,93,no,24,17,28,internal,no,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,1,7,218
5_LAM_003,lambayama_5_1_4_161,mastomys_natalensis,mastomys,murinae,muridae,female,juvenile,18,88,no,24,16,28,NA,NA,no,no,NA,0,NA,yes,ODK,lambayama,5,1,4,161
5_LAM_002,lambayama_5_1_1_48,rattus_rattus,rattus,murinae,muridae,male,juvenile,19,98,no,27,17,29,internal,no,NA,NA,NA,NA,NA,yes,ODK,lambayama,5,1,1,48
5_BAI_021,baiama_5_4_7_269,mastomys_natalensis,mastomys,murinae,muridae,female,juvenile,9,67,no,19,13,19,NA,NA,no,no,NA,0,NA,yes,ODK,baiama,5,4,7,269
5_BAI_020,baiama_5_4_7_267,rattus_rattus,rattus,murinae,muridae,female,adult,24,105,no,25,19,24,NA,NA,yes,no,NA,0,NA,yes,ODK,baiama,5,4,7,267
5_BAI_019,baiama_5_4_4_159,crocidura_olivieri,crocidura,crocidurinae,soricidae,female,adult,29,128,no,19,10,34,NA,NA,yes,yes,2,0,NA,yes,ODK,baiama,5,4,4,159
5_BAI_018,baiama_5_4_4_149,mastomys_natalensis,mastomys,murinae,muridae,female,juvenile,9,72,no,20,10,16,NA,NA,no,no,NA,0,NA,yes,ODK,baiama,5,4,4,149
5_BAI_017,baiama_5_4_3_143,mastomys_natalensis,mastomys,murinae,muridae,male,adult,48,115,no,23,17,24,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,5,4,3,143
5_BAI_016,baiama_5_4_2_53,gerbilliscus_guineae,gerbilliscus,gerbillinae,muridae,female,adult,142,160,no,35,23,39,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,5,4,2,53
5_BAI_015,baiama_5_3_7_272,rattus_rattus,rattus,murinae,muridae,male,juvenile,11,78,no,20,14,20,internal,no,NA,NA,NA,NA,NA,no,ODK,baiama,5,3,7,272
5_BAI_014,baiama_5_3_7_247,rattus_rattus,rattus,murinae,muridae,male,juvenile,26,107,no,27,20,30,external,no,NA,NA,NA,NA,NA,yes,ODK,baiama,5,3,7,247
5_BAI_013,baiama_5_3_4_150,mastomys_natalensis,mastomys,murinae,muridae,female,adult,61,136,no,28,16,25,NA,NA,yes,yes,5,0,NA,yes,ODK,baiama,5,3,4,150
5_BAI_012,baiama_5_3_3_140,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,41,120,no,22,17,27,NA,NA,yes,yes,3,0,NA,no,ODK,baiama,5,3,3,140
5_BAI_011,baiama_5_2_7_271,rattus_rattus,rattus,murinae,muridae,male,adult,68,142,no,30,22,34,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,5,2,7,271
5_BAI_010,baiama_5_2_7_270,rattus_rattus,rattus,murinae,muridae,female,adult,42,128,no,30,20,28,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,5,2,7,270
5_BAI_009,baiama_5_2_7_255,rattus_rattus,rattus,murinae,muridae,female,adult,60,130,no,31,22,32,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,5,2,7,255
5_BAI_008,baiama_5_2_7_248,rattus_rattus,rattus,murinae,muridae,female,adult,52,135,no,30,22,33,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,5,2,7,248
5_BAI_007,baiama_5_2_4_153,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,juvenile,15,104,yes,18,12,31,internal,no,NA,NA,NA,NA,NA,yes,ODK,baiama,5,2,4,153
5_BAI_006,baiama_5_2_4_151,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,female,juvenile,15,100,no,18,12,32,NA,NA,no,no,NA,0,NA,yes,ODK,baiama,5,2,4,151
5_BAI_005,baiama_5_1_7_272,rattus_rattus,rattus,murinae,muridae,female,juvenile,20,99,no,25,19,25,NA,NA,no,no,NA,0,NA,yes,ODK,baiama,5,1,7,272
5_BAI_004,baiama_5_1_7_269,mastomys_natalensis,mastomys,murinae,muridae,male,adult,45,117,no,25,15,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,baiama,5,1,7,269
5_BAI_003,baiama_5_1_7_256,rattus_rattus,rattus,murinae,muridae,male,juvenile,32,112,no,26,19,31,internal,no,NA,NA,NA,NA,NA,yes,ODK,baiama,5,1,7,256
5_BAI_002,baiama_5_1_4_150,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,59,125,no,22,15,29,NA,NA,yes,yes,3,0,NA,yes,ODK,baiama,5,1,4,150
5_BAI_001,baiama_5_1_4_149,lophuromys_sikapusi,lophuromys,murinae,muridae,female,adult,66,131,no,21,17,28,NA,NA,yes,yes,6,0,NA,yes,ODK,baiama,5,1,4,149
5_SEI_044,seilama_5_4_7_319,rattus_rattus,rattus,murinae,muridae,male,juvenile,31,121,no,30,19,30,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,7,319
5_SEI_043,seilama_5_4_7_284,praomys_rostratus,praomys,murinae,muridae,male,adult,24,105,no,22,16,24,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,7,284
5_SEI_042,seilama_5_4_7_263,mastomys_natalensis,mastomys,murinae,muridae,female,adult,32,108,no,23,17,27,NA,NA,yes,yes,5,0,NA,yes,ODK,seilama,5,4,7,263
5_SEI_041,seilama_5_4_5_245,crocidura_buettikoferi,crocidura,crocidurinae,soricidae,male,juvenile,14,94,no,17,9,25,internal,no,NA,NA,NA,NA,NA,no,ODK,seilama,5,4,5,245
5_SEI_040,seilama_5_4_5_233,rattus_rattus,rattus,murinae,muridae,male,juvenile,15,81,no,21,13,25,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,5,233
5_SEI_039,seilama_5_4_5_202,hybomys_planifrons,hybomys,murinae,muridae,male,adult,33,116,no,27,16,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,5,202
5_SEI_038,seilama_5_4_3_138,praomys_rostratus,praomys,murinae,muridae,male,juvenile,29,112,no,24,17,25,internal,no,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,3,138
5_SEI_037,seilama_5_4_3_102,lemniscomys_striatus,lemniscomys,murinae,muridae,male,adult,60,135,no,30,18,32,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,3,102
5_SEI_036,seilama_5_4_1_48,mus_setulosus,mus,murinae,muridae,male,adult,11,78,no,19,14,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,48
5_SEI_035,seilama_5_4_1_47,praomys_rostratus,praomys,murinae,muridae,male,adult,31,110,no,25,17,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,47
5_SEI_034,seilama_5_4_1_45,praomys_rostratus,praomys,murinae,muridae,female,adult,45,120,no,25,17,30,NA,NA,yes,yes,4,4,NA,yes,ODK,seilama,5,4,1,45
5_SEI_033,seilama_5_4_1_40,praomys_rostratus,praomys,murinae,muridae,female,adult,26,95,no,18,15,24,NA,NA,yes,yes,4,2,NA,yes,ODK,seilama,5,4,1,40
5_SEI_032,seilama_5_4_1_39,praomys_rostratus,praomys,murinae,muridae,female,adult,47,114,no,25,17,30,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,5,4,1,39
5_SEI_031,seilama_5_4_1_38,praomys_rostratus,praomys,murinae,muridae,male,adult,44,112,no,22,18,29,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,38
5_SEI_030,seilama_5_4_1_32,mus_setulosus,mus,murinae,muridae,male,adult,10,72,no,15,10,20,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,32
5_SEI_029,seilama_5_4_1_24,praomys_rostratus,praomys,murinae,muridae,male,adult,55,127,yes,25,19,30,external,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,24
5_SEI_028,seilama_5_4_1_3,crocidura_olivieri,crocidura,crocidurinae,soricidae,male,adult,40,139,no,22,9,35,internal,yes,NA,NA,NA,NA,NA,yes,ODK,seilama,5,4,1,3
5_SEI_027,seilama_5_3_7_290,praomys_rostratus,praomys,murinae,muridae,female,adult,45,120,no,24,18,34,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,5,3,7,290
5_SEI_026,seilama_5_3_4_195,praomys_rostratus,praomys,murinae,muridae,female,adult,39,124,yes,24,18,29,NA,NA,yes,yes,3,3,NA,yes,ODK,seilama,5,3,4,195
5_SEI_025,seilama_5_3_4_190,praomys_rostratus,praomys,murinae,muridae,female,adult,23,97,no,22,18,25,NA,NA,yes,yes,3,0,NA,yes,ODK,seilama,5,3,4,190
5_SEI_024,seilama_5_3_4_154,praomys_rostratus,praomys,murinae,muridae,female,adult,36,114,no,20,17,25,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,5,3,4,154
5_SEI_023,seilama_5_3_1_49,praomys_rostratus,praomys,murinae,muridae,female,adult,43,126,no,24,19,27,NA,NA,yes,yes,3,4,NA,yes,ODK,seilama,5,3,1,49
